run_id,phase,model_family,model_size,seed,ablation,config_path,expected_checkpoint,status,notes
byt5_small_cw4_numeral_normalized,cw4,seq2seq,byt5-small,42,cw4_numeral_normalized,experiments/configs/byt5_small_cw4_numeral_normalized.yaml,outputs/coursework/byt5_small_cw4_numeral_normalized/best_model.pt,planned,Adds explicit tags for decimal and fractional quantities
byt5_base_cw4_numeral_normalized,cw4,seq2seq,byt5-base,42,cw4_numeral_normalized,experiments/configs/byt5_base_cw4_numeral_normalized.yaml,outputs/coursework/byt5_base_cw4_numeral_normalized/best_model.pt,planned,Adds explicit tags for decimal and fractional quantities
byt5_small_cw4_retrieval_augmented,cw4,seq2seq,byt5-small,42,cw4_retrieval_augmented,experiments/configs/byt5_small_cw4_retrieval_augmented.yaml,outputs/coursework/byt5_small_cw4_retrieval_augmented/best_model.pt,planned,Prepends a retrieved transliteration and translation exemplar
byt5_base_cw4_retrieval_augmented,cw4,seq2seq,byt5-base,42,cw4_retrieval_augmented,experiments/configs/byt5_base_cw4_retrieval_augmented.yaml,outputs/coursework/byt5_base_cw4_retrieval_augmented/best_model.pt,planned,Prepends a retrieved transliteration and translation exemplar
byt5_base_scale_25pct,scaling,seq2seq,byt5-base,42,scale_25pct,experiments/configs/byt5_base_scale_25pct.yaml,outputs/coursework/byt5_base_scale_25pct/best_model.pt,planned,Data scaling: 25% of gold corpus documents
byt5_base_scale_50pct,scaling,seq2seq,byt5-base,42,scale_50pct,experiments/configs/byt5_base_scale_50pct.yaml,outputs/coursework/byt5_base_scale_50pct/best_model.pt,planned,Data scaling: 50% of gold corpus documents
byt5_base_scale_75pct,scaling,seq2seq,byt5-base,42,scale_75pct,experiments/configs/byt5_base_scale_75pct.yaml,outputs/coursework/byt5_base_scale_75pct/best_model.pt,planned,Data scaling: 75% of gold corpus documents
byt5_base_external_mix,scaling,seq2seq,byt5-base,42,external_mix,experiments/configs/byt5_base_external_mix.yaml,outputs/coursework/byt5_base_external_mix/best_model.pt,planned,Gold + OA-focused external/publication mix (~29K rows)
byt5_small_external_mix,scaling,seq2seq,byt5-small,42,external_mix,experiments/configs/byt5_small_external_mix.yaml,outputs/coursework/byt5_small_external_mix/best_model.pt,planned,Gold + OA-focused external/publication mix (~29K rows)
mt5_base_baseline,factorial,seq2seq,mt5-base,42,baseline,experiments/configs/mt5_base_baseline.yaml,outputs/coursework/mt5_base_baseline/best_model.pt,planned,Completes 2x2 tokenisation x capacity factorial
byt5_base_seed52,multiseed,seq2seq,byt5-base,52,baseline,experiments/configs/byt5_base_seed52.yaml,outputs/coursework/byt5_base_seed52/best_model.pt,planned,Multi-seed baseline for confidence intervals
byt5_base_seed62,multiseed,seq2seq,byt5-base,62,baseline,experiments/configs/byt5_base_seed62.yaml,outputs/coursework/byt5_base_seed62/best_model.pt,planned,Multi-seed baseline for confidence intervals
byt5_base_external_mix_seed52,followup,seq2seq,byt5-base,52,external_mix,experiments/configs/byt5_base_external_mix_seed52.yaml,outputs/coursework/byt5_base_external_mix_seed52/best_model.pt,planned,Multi-seed confirmation for the best external-mix result
byt5_base_external_mix_seed62,followup,seq2seq,byt5-base,62,external_mix,experiments/configs/byt5_base_external_mix_seed62.yaml,outputs/coursework/byt5_base_external_mix_seed62/best_model.pt,planned,Multi-seed confirmation for the best external-mix result
byt5_base_cw4_retrieval_source_only,followup,seq2seq,byt5-base,42,cw4_retrieval_source_only,experiments/configs/byt5_base_cw4_retrieval_source_only.yaml,outputs/coursework/byt5_base_cw4_retrieval_source_only/best_model.pt,planned,Repair retrieval by removing retrieved translation context
byt5_base_cw4_retrieval_compact,followup,seq2seq,byt5-base,42,cw4_retrieval_compact,experiments/configs/byt5_base_cw4_retrieval_compact.yaml,outputs/coursework/byt5_base_cw4_retrieval_compact/best_model.pt,planned,Repair retrieval by truncating both retrieved fields
byt5_small_cw4_retrieval_source_only,followup,seq2seq,byt5-small,42,cw4_retrieval_source_only,experiments/configs/byt5_small_cw4_retrieval_source_only.yaml,outputs/coursework/byt5_small_cw4_retrieval_source_only/best_model.pt,planned,Small-model retrieval repair without retrieved translation context
byt5_small_cw4_retrieval_compact,followup,seq2seq,byt5-small,42,cw4_retrieval_compact,experiments/configs/byt5_small_cw4_retrieval_compact.yaml,outputs/coursework/byt5_small_cw4_retrieval_compact/best_model.pt,planned,Small-model retrieval repair with compact context
